timestamp,cpu_percent_mean,memory_percent_mean,memory_used_mean,gpu_utilization_mean,gpu_memory_used_mean,gpu_memory_free_mean,gpu_memory_total_mean
2025-03-16 13:56:16,0.0,26.0,3.529338836669922,0.0,15840.1875,6733.9375,23034.0
2025-03-16 13:56:21,10.5742302911785,27.02772931530299,3.6347273165649954,11.993095732275169,16038.071928277179,6536.052962792104,23034.0
2025-03-16 13:56:26,17.954941437387486,28.712366118576885,3.7411604465516244,52.852533323383874,16267.896066068568,6306.228906013402,23034.0
2025-03-16 13:56:31,20.667322724032925,29.306101424345737,3.7800538058342097,66.29094266389946,16349.240423573174,6224.884558582444,23034.0
2025-03-16 13:56:36,21.92450962935896,29.603373103490046,3.7995225247411297,73.83303254315625,16399.389724713885,6174.735263018193,23034.0
2025-03-16 13:56:41,22.693891165967496,29.78227801974652,3.810777977181781,78.09838690985787,16430.27666481947,6143.848329495233,23034.000000000004
2025-03-16 13:56:46,23.17731404234202,29.901760062910387,3.8178949823344537,81.37952655797042,16450.904597734345,6123.220396838613,23033.999999999996
2025-03-16 13:56:51,23.527406091826748,29.969639585924952,3.8230218945433725,83.43112109839804,16465.754999853307,6108.369996303596,23034.0
2025-03-16 13:56:56,23.888775072789407,29.89850131349718,3.8281273176151194,85.50029156850815,16477.048478268796,6097.076518353492,23034.000000000004
2025-03-16 13:57:01,24.142822530898137,29.847661091315764,3.832165459324242,86.19676737599416,16485.824420326622,6088.300576987626,23034.0
2025-03-16 13:57:06,24.32825841822602,29.802913505458314,3.8354454300436442,87.2785202395964,16492.85781530335,6081.267182723394,23033.999999999996
2025-03-16 13:57:11,24.4698283639531,29.77279927963165,3.8383186818233224,88.2329544502918,16498.60494969175,6075.520048729169,23034.000000000004
2025-03-16 13:57:16,24.605783978135673,29.750087413661777,3.84086654258657,89.2126171201187,16503.398973773652,6070.726024969546,23034.000000000004
2025-03-16 13:57:21,24.715915525163815,29.73086440806833,3.8431176633685076,89.98040958663299,16507.45657110955,6066.668428088326,23034.0
2025-03-16 13:57:26,25.826210593160035,29.731341006893647,3.847874661849646,90.3687618828939,16510.942278552462,6063.182720317659,23034.0
2025-03-16 13:57:31,29.08627189715788,29.871376765076405,3.872798723698961,90.22259155499584,16513.9485121437,6060.176486787173,23034.0
2025-03-16 13:57:36,31.727328472526274,30.139907433735285,3.916560334122342,89.93396144577449,16516.584943445214,6057.540055951319,23034.000000000004
2025-03-16 13:57:41,31.792779043424325,30.40790424003211,3.960011398557172,90.1516541880015,16518.912550391964,6055.212449112857,23034.000000000007
2025-03-16 13:57:46,31.479481337023582,30.640108108396134,3.9975024312932335,90.65742397204725,16520.98246542716,6053.142534158497,23034.000000000007
2025-03-16 13:57:51,31.186965988472277,30.84320538249839,4.030660819776463,90.99671758898737,16522.834860721166,6051.290138899924,23034.00000000001
2025-03-16 13:57:56,30.92227899469538,31.025713692082334,4.060397259605994,91.2629073696988,16524.4994707112,6049.625528797922,23034.000000000007
2025-03-16 13:58:01,30.68467323734723,31.191090877853846,4.087394287628369,91.44749603469783,16526.007831244893,6048.117168304104,23034.000000000004
2025-03-16 13:58:06,30.462643753066956,31.34146419147216,4.111989307314611,91.67253721130413,16527.37934489294,6046.745654769149,23033.999999999996
2025-03-16 13:58:11,30.254769409292837,31.479001181424984,4.134483961946658,91.75632210601344,16528.633783438803,6045.491216194845,23033.999999999993
2025-03-16 13:58:16,30.068459179611647,31.604596349999163,4.1550295865573394,91.99904688932483,16529.779302924573,6044.345696732302,23033.999999999996
2025-03-16 13:58:21,29.891141171863477,31.720334899880672,4.173947088179604,92.31887059033537,16530.83492300816,6043.29007664722,23033.999999999993
2025-03-16 13:58:26,30.642304585300696,31.79998979336852,4.18722931190798,92.51925394059101,16531.80964802527,6042.315351768554,23033.999999999996
2025-03-16 13:58:31,30.455787472566815,31.859170951346076,4.197264701901526,92.5438301735419,16532.711335694366,6041.413664124854,23034.0
2025-03-16 13:58:36,30.285585428738447,31.91432969660857,4.206602932311986,92.73215899038784,16533.551737614474,6040.573262191597,23033.999999999996
2025-03-16 13:58:41,30.128059687063512,31.965378804617583,4.215245202933619,92.94903979146495,16534.32952487989,6039.795474954352,23033.999999999996
2025-03-16 13:58:46,29.98879620586082,32.01283895350505,4.2233059543131235,92.99085548461544,16535.05788509778,6039.067114740287,23033.999999999996
2025-03-16 13:58:51,29.86702417030719,32.0543448899567,4.230644174146678,93.10940923972207,16535.73923294611,6038.38576691014,23034.0
2025-03-16 13:58:56,29.73599656294685,32.09324634453339,4.237521792399454,93.05822598902786,16536.377826507905,6037.74717336461,23034.000000000004
2025-03-16 13:59:01,29.614904831154437,32.129817362197194,4.243987179484008,93.20188696556593,16536.978164333654,6037.146835527737,23034.000000000007
2025-03-16 13:59:06,29.49752416588115,32.16422924717661,4.250070629548109,93.36829081429774,16537.54305855375,6036.581941335517,23034.000000000007
2025-03-16 13:59:11,29.387359733717265,32.1966897781681,4.255808894402666,93.41294071660937,16538.07591999168,6036.049079890374,23034.0
2025-03-16 13:59:16,29.284168399094796,32.227288005278815,4.261213162039509,93.45117957830216,16538.578210506974,6035.546789386417,23033.999999999996
2025-03-16 13:59:21,29.18688455421389,32.256280671545674,4.266326124671677,93.4792789857317,16539.05414462385,6035.070855257638,23034.0
2025-03-16 13:59:26,29.09185345001098,32.28373170185438,4.271166673775379,93.53207237890743,16539.504771726723,6034.620228172325,23034.0
2025-03-16 13:59:31,29.0028910721327,32.30980457837226,4.275762123953391,93.64158511646234,16539.93277551214,6034.192224392855,23034.000000000004
